favourites,followers,friends,likes,lists,retweets,statuses
1906,93,82,2,2,0,29955
2802,658,287,1,4,1,18921
20798,1658,188,1,17,0,28091
19466,99,192,0,0,0,13721
810,9078,6910,0,1290,0,343203
39401,5693,150,8,55,1,17333
13633,478,395,0,37,0,45262
810,9078,6910,3,1290,5,343203
2478,240,195,3,1,4,5254
810,9078,6910,0,1290,0,343203
6780,989,146,1,22,0,9977
810,9078,6910,1,1290,1,343203
0,43,58,1,6,0,31967
4681,725,598,3,2,1,2859
4290,418,229,2,0,1,7647
810,9078,6910,0,1290,0,343203
810,9078,6910,0,1290,0,343203
11199,1619,1440,7,104,0,25497
32110,1917,996,1,21,1,56621
250,925,952,0,155,0,22185
128,2856,3570,0,154,0,5241
1269,147,216,7,11,2,2211
6,155,244,0,26,0,20931
1,140,93,0,270,0,50411
560,725,4756,0,9,0,4203
17749,337,87,0,14,0,37475
9002,872,302,1,0,1,2666
31,290,725,0,60,0,2487
188,739,293,0,53,0,883
1,583,492,0,21,0,281961
2,89,212,0,25,0,4918
327,1161,1210,0,170,0,22586
22429,258,332,0,30,0,34468
9713,78,156,3,0,0,17955
3714,98,215,0,3,0,3956
16274,82,82,2,1,0,6419
976,913,1065,0,165,0,24181
3361,678,513,1,2,0,14484
0,254,223,0,397,0,30879
0,126,37,0,144,0,55166
841,92,255,0,0,0,986
715,1638,2536,2,180,2,53419
775,396,241,0,2,0,2246
469,934,402,0,344,0,32952
1738,138,368,0,4,0,3019
1206,1076,1037,0,183,0,28299
18545,101,134,4,3,0,13183
2,7581,2607,0,33,0,47836
2686,371,219,1,2,0,13438
4689,3022,1403,0,101,0,68156
1139,909,928,0,157,0,26969
810,9078,6910,0,1290,0,343203
810,9078,6910,0,1290,0,343203
361,690,515,0,8,0,41454
810,9078,6910,0,1290,0,343203
21,4,100,1,0,0,26
242,672,590,0,228,0,129169
0,1258,150,0,628,0,1237993
810,9078,6910,0,1290,0,343203
239,627,202,0,5,0,11589
250,925,952,0,155,0,22185
960,141,464,6,11,0,2578
810,9078,6910,0,1290,0,343203
1050,692,149,21,13,4,3290
24,619,226,0,6,0,17457
0,5,34,0,0,0,43
9500,9998,932,0,27,0,40493
124,124,219,0,25,0,21684
5743,64870,752,18,626,2,15437
431,231,424,1,36,0,2272
24906,5997,3242,1,31,1,68210
8873,1305,97,3,22,0,37198
0,103,54,0,169,0,17740
1009,2388,3017,0,385,0,313657
14498,245,149,15,5,4,8871
29,2897,110,0,0,1,110
317,912,962,0,132,0,21043
3406,94,199,0,3,0,3792
44952,6369,93,6,125,1,84889
810,9078,6910,0,1290,0,343203
47976,484,850,0,24,0,109374
317,137,76,3,3,0,1114
13267,13309,9101,0,489,1,234204
869,1030,1048,0,194,0,27977
810,9078,6910,0,1290,0,343203
318,1005,1045,0,180,0,22394
67,2665,145,0,66,1,3676
4398,622,400,2,0,1,7002
36289,9567,556,9,110,0,59908
223,2043,1451,0,20,0,102043
31093,893,461,7,5,1,5855
13862,1728,650,81,34,73,67885
40967,3582,167,1,74,0,76649
38655,8074,221,6,166,2,115675
2309,1855,1972,0,194,0,37426
3,56,49,0,16,0,40675
431,231,424,1,36,0,2272
1,836,982,0,3,0,12276
12417,1200,143,23,41,15,6886
3141,2562,2975,0,425,0,6444
0,21,159,0,2,0,39838
9,703,143,0,89,1,85913
1009,2388,3017,0,385,0,313623
6,355,186,0,0,0,86419
1589,2150,1161,0,28,0,4851
1009,2388,3017,0,385,0,313626
2162,1234,706,2,49,0,5921
23867,318,673,1,2,0,39981
810,9078,6910,0,1290,0,343203
1585,527,2635,0,45,0,8295
308,1165,1176,0,174,0,22500
1,140,93,0,270,0,50411
310,1203,1232,0,184,0,22523
810,9078,6910,0,1290,0,343203
101286,643,159,3,37,0,128007
3141,2562,2975,4,425,4,6444
810,9078,6910,1,1290,0,343203
0,1115,0,0,30,0,54591
15421,2086,206,5,56,0,21505
3,423,2855,0,13,0,2330
11983,2728,148,30,146,15,29923
6677,135,85,0,7,0,6447
1367,14155,542,2,45,0,18247
8827,13348,13581,0,286,0,34709
94866,313,296,3,6,0,14238
9847,213,225,0,5,0,11020
537,301,232,3,1,0,1714
242,673,590,0,228,0,129183
105858,1211,753,6,40,1,41357
9143,309,283,10,3,0,12371
266,37,273,0,0,0,119
2678,945,493,0,3827,0,206048
3,1209,2,0,2700,0,313517
71907,1089,483,1,31,0,193628
91,3588,2433,0,138,0,174268
3057,469,425,1,2,0,7094
1990,872,297,1,369,1,26931
854,900,1116,0,163,0,24558
59112,2702,118,2,13,1,30631
760,2218,437,0,3,1,3729
6,322,294,0,117,0,136491
667,31,134,0,2,0,8487
17761,1115,1152,7,30,2,25835
1467,5218,4606,0,243,0,8500
75007,2199,593,15,33,0,26851
5705,150,377,4,1,0,6289
91,3588,2433,0,138,0,174268
810,9078,6910,1,1290,1,343203
35,1086,1999,0,18,0,1740
619,238,306,1,1,1,1193
349,14360,1220,11,255,3,8148
26883,2846,1605,1,166,0,33754
1467,5218,4606,1,243,0,8500
810,9078,6910,0,1290,0,343203
9526,1921,1913,0,289,0,13606
3784,806,233,0,2,0,7997
810,9078,6910,0,1290,0,343203
16,336,1912,0,6,0,10741
62027,296,211,1,12,0,15842
810,9078,6910,0,1290,0,343203
9503,1995,1793,4,369,3,13443
13963,94,104,3,4,1,29444
0,10846,7300,3,4,0,28974
810,9074,6908,0,1290,0,343168
0,450,1321,0,55,0,103058
2309,1855,1972,0,194,0,37426
17,1212,76,0,0,0,16
993,945,937,0,155,0,26061
899,922,949,0,177,0,31124
39401,5693,150,10,55,1,17333
8827,13348,13581,0,286,0,34705
123468,146,362,3,14,0,113355
865,990,974,0,193,0,27491
7239,1525,1734,1,88,1,118798
2742,193,341,6,22,2,4083
182,60,276,0,2,0,8091
1589,2150,1161,0,28,0,4851
6519,8397,4861,0,156,0,154639
59,269,565,4,0,0,976
12428,566,679,0,13,0,23218
13272,730,2056,2,5,0,5075
24,619,226,0,6,1,17457
4504,342,432,2,11,0,22064
1,583,492,0,21,0,281961
26255,226,157,0,9,0,27279
431,231,424,0,36,0,2272
169,785,1061,0,450,0,8135
21158,1009,669,19,27,0,30261
4,79,1,0,26,0,113099
810,9078,6910,1,1290,1,343203
40184,295,183,6,9,0,15518
3141,2562,2975,1,425,1,6444
11010,2351,57,0,36,0,13984
325,1212,1227,0,175,0,22516
242,673,590,0,228,0,129183
14556,341,550,6,5,0,10556
2,89,212,0,25,0,4918
129,10686,321,0,100,0,110218
0,254,223,0,397,0,30879
285,180,184,2,0,0,97
6,155,244,0,26,0,20931
2190,18049,601,17,51,1,4364
0,8,8,0,7,0,8160
2,89,212,0,25,0,4918
0,254,223,0,397,0,30879
14,132,52,0,39,0,38115
0,62,1,0,27,0,6843
242,672,590,0,228,0,129173
854,900,1116,0,163,0,24558
722,1940,926,0,61,1,2195
