favourites,followers,friends,likes,lists,retweets,statuses
12,4,18,0,0,0,21
856,858,1040,0,182,0,24295
16470,38,167,3,1,0,13235
41,1899,1975,1,367,0,17396
2670,618,869,1,0,0,1012
11983,2728,148,13,146,2,29923
2083,164,159,2,2,0,1898
0,10,0,0,6,0,7209
6478,983,275,9,14,0,6218
6124,297,97,4,18,0,4805
0,633,109,1,7,0,3005
7961,1666,970,8,52,2,51183
942,1069,998,0,180,0,27840
0,2878,1239,0,2,0,5049
11585,1549,128,1,18,1,7837
19,778,769,0,3,0,2986
26,26,25,0,0,0,6
1,16,97,0,3,0,744
6519,8397,4861,0,156,0,154639
302,1255,586,0,9,0,18592
0,34,238,0,17,0,1520
5203,524,463,4,1,0,3185
810,9078,6910,0,1290,0,343203
810,9078,6910,0,1290,1,343203
832,847,1024,0,157,0,24135
250,925,952,0,155,0,22185
11,11,171,1,0,0,2
128,2856,3570,0,154,0,5241
261,254,608,0,39,0,1890
13246,834,663,2,13,0,26280
74,506,543,0,22,0,36751
204,9547,8510,0,359,0,32184
27,4,1,0,0,0,70
374,653,1155,5,7,1,1859
0,1258,150,0,628,0,1237993
33848,564,618,2,10,0,23382
42,20989,21491,0,284,0,18179
9772,385,318,1,5,0,11513
12417,1200,143,2,41,0,6886
715,1638,2536,1,180,0,53419
810,9078,6910,0,1290,1,343203
976,913,1065,0,165,0,24181
810,9078,6910,0,1290,0,343203
24,65,73,0,0,0,574
99,65,151,1,0,0,107
0,43,58,1,6,0,31966
327,1161,1210,0,170,0,22586
129,10686,321,0,100,0,110218
0,155,46,0,27,0,265934
10159,168,245,0,2,0,30073
1746,10344,1410,0,836,0,802807
3229,1586,1546,0,182,0,29641
1009,2388,3017,0,385,0,313654
6586,964,124,0,27,0,19123
691,560,533,1,25,0,1305
105858,1211,753,3,40,0,41357
810,9078,6910,0,1290,0,343203
3135,21599,5341,20,4,20,6264
452,822,602,0,162,0,10817
8827,13348,13581,0,286,0,34705
59,3844,54,17,127,6,22757
2635,146,251,1,16,0,3370
1099,122,119,0,11,0,14048
86,5559,306,0,287,0,152030
34535,3597,135,1,50,0,25047
1028,1263,1328,0,146,0,21309
810,9078,6910,0,1290,0,343203
1009,2388,3017,0,385,0,313623
715,1638,2536,1,180,0,53419
317,912,962,0,132,0,21047
336,180,549,0,3,0,3022
437,2189,2220,0,360,0,163267
0,8,54,0,1,0,2706
48753,979,352,6,8,0,19069
14,68,112,0,0,0,77
11214,2096,828,1,58,1,50237
2921,567,434,1,2,0,1163
91,3588,2433,0,138,0,174268
0,0,0,0,0,0,850
6,155,244,0,26,0,20931
1500,274,202,1,0,0,3072
171,27067,1356,2,76,0,3873
20285,2665,177,2,31,0,45465
1,836,982,0,3,0,12276
3359,424,365,1,0,2,1923
317,912,962,0,132,0,21047
16074,26984,6256,18,120,0,9509
7351,238,113,3,4,0,28209
7,623,1431,0,17,0,375964
40967,3582,167,5,74,1,76648
10,960,169,0,2234,0,510077
59,3844,54,0,127,0,22757
0,225,60,0,133,0,87846
888,880,851,0,194,0,27536
5809,124,163,2,4,0,6588
3198,218,239,1,5,0,19262
12782,340,348,0,13,0,8379
325,1212,1227,0,175,0,22516
275,83,194,2,1,0,1461
6519,8397,4861,0,156,0,154639
1218,994,1018,0,176,0,28588
5455,386,684,0,10,0,7829
10,58,98,0,1,0,29
832,847,1024,0,157,0,24135
0,56,129,0,8,0,10224
2,89,212,0,25,0,4918
810,9078,6910,1,1290,1,343203
18694,433,450,7,5,5,12962
204,9547,8510,0,359,0,32184
888,880,851,0,194,0,27531
3198,218,239,0,5,0,19262
888,880,851,1,194,1,27533
3829,262,177,1,8,0,81567
35507,108,273,0,1,0,52007
2357,231,191,2,5,1,26294
59,3844,54,0,127,1,22757
14533,102,236,2,10,0,11097
0,282,0,0,112,0,77525
14,753,88,1,76,5,7667
16841,6475,1324,0,10,0,1239
0,57,38,0,143,0,82451
7022,5183,272,14,65,9,56240
7103,478,539,2,13,1,18148
1,30,109,0,21,0,17286
14598,299,102,1,25,0,35714
242,673,590,0,228,0,129197
993,945,937,0,155,0,26061
25902,151,132,1,3,1,23980
20798,120,86,1,7,0,5483
810,9078,6910,0,1290,1,343203
40674,1637,1125,4,23,2,17533
6,155,244,0,26,0,20931
1589,2150,1161,1,28,0,4851
7,24,43,0,1,0,187
810,9078,6910,0,1290,0,343203
810,9078,6910,0,1290,0,343203
59,3844,54,0,127,0,22757
341,2509,823,6,54,0,67349
9842,12091,1370,68,40,0,6489
810,9078,6910,0,1290,0,343203
3207,188,241,2,8,0,3662
8,1311,956,1,5,0,478
325,1212,1227,0,175,0,22516
2,89,212,0,25,0,4918
6519,8397,4861,0,156,0,154639
18320,3397,2242,0,82,0,138637
2971,117,74,0,12,0,34434
1009,2388,3017,0,385,0,313607
2597,219,85,5,6,0,15646
3,56,49,0,16,0,40675
854,900,1116,1,163,0,24558
525,243,364,4,1,0,2112
4550,371,241,1,4,0,20439
365,20,126,6,0,2,163
21002,2413,90,2,27,0,113291
2487,533,81,0,17,0,28726
46042,1468,445,3,22,0,17287
3897,360,771,0,10,0,8627
0,4,57,0,0,0,2
180,303,426,0,16,0,1271
115259,1503,162,21,68,14,20531
4875,480,436,8,0,0,26527
810,9078,6910,0,1290,0,343203
14,132,52,0,39,0,38115
123275,6069,489,2,110,1,522466
0,8,8,0,7,0,8160
2697,1788,535,2,1,0,7397
21146,3822,322,32,38,8,118705
16177,121,122,4,12,0,7899
26874,5887,5644,0,776,0,119973
2990,353,259,1,9,0,16257
4016,14704,10398,0,935,0,88625
452,822,602,0,162,0,10817
797,1953,1756,0,2353,0,69280
12110,75,68,0,4,0,6969
78,3084,2044,0,1,0,3529
30157,162,363,3,13,0,20949
3,56,49,0,16,0,40675
3,423,2855,0,13,0,2330
318,1005,1045,0,180,0,22394
0,3,0,1,2,0,3099
810,9078,6910,0,1290,0,343203
78146,1354,225,1,60,0,184953
964,1678,1588,5,88,1,1800
8148,57,189,0,3,0,7863
56221,581,993,1,5,0,27568
30,433,313,0,7,0,2603
95117,3813,256,1,61,1,69944
810,9078,6910,0,1290,0,343203
0,282,0,0,112,0,77525
8643,165,280,0,10,0,4507
9474,129,220,3,5,0,5907
3909,518,277,3,0,1,1645
90,602,1805,0,79,0,24448
7,623,1431,0,17,0,375964
2223,1427,605,2,24,0,60005
12417,1200,143,0,41,0,6886
261,254,608,0,39,0,1890
810,9078,6910,0,1290,0,343203
913,4623433,3935,401,11680,159,4501
1,1604,590,0,1,0,483
391,15,34,0,0,0,301
1372,1992,1997,0,195,0,33064
22363,127,216,1,14,0,32586
1836,19,131,0,0,0,1048
39401,5693,150,3,55,1,17333
832,847,1024,0,157,0,24135
0,56,129,0,8,0,10224
318,1005,1045,0,180,0,22394
34728,2811,603,2,75,1,16966
3,56,49,0,16,0,40675
540,730,1353,0,93,0,6490
838,881,1063,3,174,0,24341
2,403,1269,0,44,0,12646
66906,1008,986,70,75,27,5505
2798,163,157,0,1,0,1020
0,1258,150,0,628,0,1237993
6,155,244,0,26,0,20931
455,470,450,0,16,0,83944
810,9078,6910,1,1290,0,343203
37220,1070,74,3,17,0,24554
3,88,63,0,26,0,6210
3,115,100,0,2,0,979
22978,249,182,3,8,0,26438
23840,1948,582,0,17,0,66132
91,3588,2433,0,138,0,174268
11726,9924,356,27,133,5,194790
8889,461,352,10,2,3,24009
283,600,1330,0,86,0,4853
469,934,402,1,344,0,32952
4655,87,191,0,5,0,2360
6844,202,726,2,12,1,9170
981,895,1060,0,159,0,24568
0,686,1941,0,195,0,13365
225,295,290,0,34,0,763
2357,231,191,3,5,1,26294
3,56,49,0,16,0,40675
3229,1586,1546,0,182,0,29641
3325,1555,5001,0,27,0,11267
74,506,543,0,22,0,36751
1139,909,928,0,157,0,26969
810,9078,6910,0,1290,0,343203
1711,387,253,2,0,0,6421
204,9547,8510,0,359,0,32184
499,708,134,0,17,0,67440
0,2,22,0,1,0,503
0,1522,530,0,359,0,445463
3098,554,98,0,26,0,2735
11931,1235,137,1,25,0,69090
2083,86,112,0,1,0,2211
1206,1076,1037,0,183,0,28299
67268,1058,439,1,18,1,24961
6,4,22,0,1,0,4
2597,219,85,0,6,0,15646
5850,836,300,0,2,0,4798
1385,771,325,2,4,0,42910
1746,10344,1410,0,836,0,802807
74,506,543,0,22,0,36755
13747,305,291,11,3,9,7266
137,13,269,3,0,2,51
10,960,169,0,2234,0,510077
52483,1058,594,2,3,2,45236
82,83,62,0,16,0,1521
810,9078,6910,0,1290,0,343203
6,155,244,0,26,0,20931
750,43,159,2,13,0,63
5776,243,223,15,0,5,8317
6643,128,347,0,4,0,12343
810,9078,6910,0,1290,0,343203
14327,1255,138,6,11,0,24843
14207,572,294,3,17,0,18168
41244,2481,381,0,38,0,130104
35589,3476,1418,4,89,1,88279
12262,628,296,7,3,1,853
810,9078,6910,0,1290,0,343203
1,583,492,0,21,0,281969
183,52,76,2,1,0,1372
9998,263,236,0,1,0,15560
23939,204,248,4,7,0,15176
473,122,214,5,0,0,161
26874,5887,5644,0,776,0,119973
168,118,161,0,0,0,357
43623,4130,3268,1,119,0,62056
105858,1211,753,2,40,0,41357
587,172,269,0,2,0,564
30880,3265,357,8,170,0,21105
5252,851,755,8,28,2,3758
112666,637,356,6,15,0,134853
22904,2279,1803,2,77,1,4867
6450,403,317,1,1,0,11158
0,56,129,1,8,0,10224
240,19,137,2,0,1,643
1898,563,489,0,3,0,18708
6519,8397,4861,0,156,0,154639
899,922,949,0,177,0,31124
21776,781,217,4,22,1,42904
39401,5693,150,6,55,0,17333
67268,1058,439,1,18,0,24961
17345,2919,700,26,22,0,117128
26053,501,318,3,4,0,38793
95,18,40,0,17,0,684
91,3588,2433,0,138,0,174268
115,160,154,1,0,0,12322
854,900,1116,2,163,5,24558
715,1638,2536,0,180,0,53419
3801,21528,1963,3,20,2,26199
59,3844,54,0,127,0,22757
6022,142,158,1,24,0,4552
15530,415,135,3,4,1,3914
2421,146,133,7,1,0,7167
4255,142,139,0,10,0,112617
26874,5887,5644,0,776,0,119973
123275,6069,489,15,110,1,522466
2752,54,122,1,0,0,1809
1589,2150,1161,1,28,0,4851
1,140,93,0,270,0,50411
318,1005,1045,0,180,0,22394
30070,155,500,3,13,0,39831
4817,347,412,0,16,0,55075
12186,62,131,0,1,0,18325
13575,510,500,2,11,0,50814
1589,2150,1161,0,28,0,4851
935,818,1,0,0,0,8
0,39,150,0,1,0,1620
14,132,52,0,39,0,38115
6586,964,124,1,27,0,19123
1125,869,890,0,155,0,28112
4935,470,442,1,1,1,4600
1009,2388,3017,0,385,0,313657
899,922,949,0,177,0,31124
14,132,52,0,39,0,38115
9526,1921,1913,1,289,0,13606
16,320,266,0,10,0,2650
832,847,1024,0,157,0,24135
1266,406,352,0,0,0,3667
1343,5419,2598,0,170,0,230406
7955,621,887,0,3,0,12278
11547,32584,27846,0,1774,0,61675
0,3,0,0,2,0,3099
21368,225,276,9,6,0,35493
5845,192,351,1,23,2,11393
1589,4779,1843,0,190,0,11283
810,9078,6910,0,1290,0,343203
0,29,220,0,22,0,1476
7137,877,342,9,8,3,10804
3941,124,83,0,15,0,25213
7513,456,703,4,0,0,262
2079,132,119,0,0,0,2300
3086,183,83,0,5,0,10234
13267,13309,9101,1,489,3,234204
4016,14704,10398,0,935,2,88625
1938,2020,107,55,27,38,5541
1746,10344,1410,0,836,0,802807
91,3588,2433,0,138,0,174268
1525,12101,232,4,10,2,1097
1009,2388,3017,0,385,0,313654
1,889,2012,0,187,0,290522
6643,128,347,1,4,0,12343
129,10686,321,0,100,0,110218
942,1069,998,2,180,1,27838
810,9078,6910,0,1290,0,343203
2799,731,377,2,3,1,4113
810,9078,6910,0,1290,0,343203
52,4950,2796,0,150,0,96102
1372,1992,1997,0,195,0,33064
810,9078,6910,0,1290,0,343203
810,9078,6910,1,1290,0,343203
20285,2665,177,3,31,0,45465
437,2189,2220,0,360,0,163259
16,336,1912,0,6,0,10741
2,7581,2607,0,33,0,47836
14,132,52,0,39,0,38115
282,1440,1449,0,166,0,21132
1589,2150,1161,0,28,0,4851
7644,810,730,1,10,0,5718
1009,2388,3017,0,385,0,313666
12556,650,216,0,11,0,58149
1365,22,37,0,0,0,668
4699,167,193,0,4,0,2808
2131,1295,92,0,12,0,5100
21500,845,1340,28,9,1,7640
41,1899,1975,0,367,0,17396
327,1161,1210,0,170,0,22586
5460,53,141,0,0,0,3532
6115,287,745,0,22,0,2503
35313,1074,1798,1,13,0,22940
3900,669,382,0,8,0,9409
431,21,58,1,3,0,1191
42,20990,21492,1,284,0,18182
8529,1580,355,1,6,0,54059
0,686,1941,0,195,0,13365
4027,1740,612,0,75,0,5573
2226,451,327,4,2,0,3285
3247,267,114,0,4,0,6661
0,686,1941,0,195,0,13365
993,945,937,0,155,0,26061
1454,5016,4986,0,645,0,65963
55275,918,97,2,18,0,33338
34728,2811,603,76,75,30,16966
250,1412,1361,0,173,0,22422
1004,152,408,0,5,0,3780
2555,557,883,0,2,0,11049
81,188,169,0,41,0,6487
1523,49,35,5,0,0,4542
20233,816,409,0,5,0,36487
91,3588,2433,0,138,0,174268
450,116,328,0,0,0,2429
810,9078,6910,3,1290,4,343203
437,2188,2220,0,360,0,163239
0,8,8,0,7,0,8160
79,1,11,0,0,0,503
74,506,543,0,22,0,36753
512,1030,937,3,102,1,17971
94866,313,296,2,6,0,14238
39401,5693,150,1,55,0,17333
810,9078,6910,1,1290,1,343203
810,9078,6910,0,1290,0,343203
10658,155,161,2,8,0,29872
1938,2020,107,12,27,4,5541
1454,5016,4986,0,645,0,65963
0,1258,150,0,628,0,1237993
36212,770,745,2,4,0,13492
942,1069,998,0,180,0,27838
5140,2023,1841,0,319,0,9026
70073,2816,1263,25,56,0,75452
9860,226,242,2,0,1,1344
308,1165,1176,0,174,0,22500
21699,465,221,14,44,0,37489
437,2189,2220,0,360,1,163264
95,18,40,0,17,0,684
4699,167,193,0,4,1,2808
0,11884,12748,0,69,0,49612
1125,869,890,0,155,0,28112
3177,1279,28,4,10,1,2809
6643,128,347,0,4,0,12343
3198,218,239,2,5,0,19262
6124,297,97,4,18,0,4805
10477,798,2127,1,2,1,7188
2178,3270,2975,0,10,0,7809
10,960,169,0,2234,0,510077
1009,2388,3017,0,385,0,313626
2075,791,548,5,0,1,3901
436,2094,1483,0,237,0,15639
16560,1070,151,3,50,1,15977
437,2189,2220,0,360,0,163263
810,9078,6910,0,1290,2,343203
25505,2305,942,25,84,0,26924
0,1258,150,0,628,0,1237993
0,103,54,0,169,0,17740
3281,4149,810,0,82,0,321790
6519,8397,4861,0,156,0,154639
19061,1085,257,2,48,0,42702
2521,355,204,1,12,1,28919
888,880,851,0,194,0,27536
353,27,109,0,4,0,1132
899,922,949,0,177,0,31124
2936,212,54,0,13,0,113160
116961,254,235,4,24,1,63345
100,83,191,1,0,0,84
11725,5083,3174,1,732,0,2859
3,13,57,0,0,0,276
18107,97,75,1,7,0,7303
4817,347,412,5,16,1,55075
1803,460,30,14,5,6,1526
6497,193,146,2,9,0,22158
1467,5218,4606,0,243,0,8500
17749,337,87,52,14,19,37475
0,225,60,0,133,0,87846
16,336,1912,0,6,0,10741
1218,994,1018,0,174,0,28588
888,880,851,0,194,0,27536
2,8,58,0,0,0,3
2,89,212,0,25,0,4918
162,652,74,10,8,2,146
26874,5887,5644,0,776,1,119973
22978,249,182,1,8,0,26438
13267,13308,9101,0,489,0,234204
18227,1548,1456,14,49,3,13610
17338,975,493,0,133,0,13112
10305,585,645,5,3,0,33838
14,132,52,0,39,0,38115
416,1574,685,0,15,1,30122
5551,273,511,1,6,0,8569
96585,12701,972,7,330,1,199562
98,13,146,0,0,0,3
865,990,974,0,193,0,27491
2357,231,191,0,5,0,26294
2971,117,74,1,12,0,34434
128,2856,3570,0,154,0,5241
14501,234,144,1,15,0,17335
49421,11985,99,1,107,0,30076
853,923,1088,0,181,0,24672
5085,565,176,16,9,3,14057
14,132,52,0,39,0,38115
12914,252,190,5,15,0,27470
5229,340,330,1,5,0,7531
37220,1070,74,3,17,0,24554
25902,151,132,1,3,0,23980
974,195,439,0,0,0,3215
810,9078,6910,0,1290,0,343203
810,9078,6910,1,1290,0,343203
26874,5887,5644,0,776,0,119973
1009,2388,3017,0,385,0,313654
1206,1076,1037,0,183,0,28299
0,10846,7300,0,4,0,28974
22,30,86,0,0,0,23
13402,897,793,39,7,3,31659
869,1030,1048,0,194,0,27977
4,79,1,0,26,0,113099
11382,546,974,1,28,0,29822
11835,610,690,0,20,1,8059
38992,1216,2058,0,8,0,5517
6519,8397,4861,0,156,0,154639
32,687,121,0,10,0,9556
810,9078,6910,0,1290,1,343203
4460,17,45,11,1,5,2775
0,521,229,0,280,0,324316
2604,369,84,0,3,0,11979
2,89,212,0,25,0,4918
2936,212,54,0,13,0,113160
810,9078,6910,0,1290,0,343203
16684,322,695,0,5,0,90533
3855,176,277,1,2,0,3318
91,3588,2433,1,138,1,174268
1,140,93,0,270,0,50411
337,425,931,0,19,0,1304
18,9,6,0,2,0,1148
26874,5887,5644,0,776,0,119973
6519,8397,4861,0,156,0,154639
35313,1074,1798,0,13,0,22940
838,881,1063,0,174,0,24341
2,89,212,0,25,0,4918
9120,940,119,1,21,0,20511
4008,457,338,0,2,0,18089
79,1,11,0,0,0,503
6519,8397,4861,0,156,0,154639
1139,909,928,0,157,0,26969
11106,458,750,2,17,0,15082
1125,869,890,1,155,0,28112
5471,758,2030,0,144,0,3983
4016,14704,10398,0,935,5,88625
2375,1917,283,0,175,0,41702
20003,1141,187,0,33,0,37165
810,9078,6910,0,1290,0,343203
79,83,90,1,0,1,554
431,231,424,0,36,0,2272
2783,1260,376,3,28,0,62605
204,9547,8510,0,359,0,32184
15423,250,104,3,8,0,8160
2,374,1323,0,43,0,53808
204,9547,8515,0,368,0,32184
2,89,212,0,25,0,4918
1,140,93,0,270,0,50411
0,46,0,0,5,0,37001
36218,3783,3612,0,199,6,5192
810,9078,6910,0,1290,0,343203
2297,84,201,0,9,0,1562
2505,58,50,0,6,0,2089
718,134,90,0,12,0,3979
753,84,78,1,2,0,219
7506,449,69,0,1,1,9137
308,1165,1176,0,174,0,22500
13267,13309,9101,0,489,0,234204
242,3237,3358,4,610,2,62669
33708,247,638,3,23,1,177344
1746,10344,1410,1,836,4,802807
1372,1991,1997,0,195,0,33064
5705,150,377,0,1,0,6289
7048,734,695,6,7,0,4637
310,24,68,0,0,0,103
6519,8397,4861,0,156,0,154639
0,1522,530,0,358,0,445448
810,9078,6910,1,1290,0,343203
905,182,439,1,9,0,4955
8146,332,444,4,0,1,1509
3,425,2858,0,13,0,2330
21368,225,276,3,6,1,35493
91,3588,2433,0,138,0,174268
16650,927,73,3,31,0,15745
4541,2132,1489,0,12,1,68627
810,9078,6910,0,1290,0,343203
18816,319,273,1,29,1,64031
797,42,105,0,6,0,3483
1884,324,283,1,3,1,4328
6652,770,607,0,661,0,30357
10539,248,201,0,9,0,29809
2,89,212,0,25,0,4918
325,1212,1227,0,175,0,22516
97,492,831,0,1,0,518
14501,234,144,0,15,0,17335
14,753,88,0,76,6,7667
0,131,48,0,34,0,252044
7228,1895,1073,2,7,0,71642
6593,2813,962,1,82,3,211071
250,925,952,0,155,0,22185
7302,3580,483,2,85,2,132856
204,9547,8510,2,359,0,32184
34499,776,343,4,39,1,59612
1,325,130,0,163,0,92165
0,8,8,0,7,0,8160
195,310,149,0,15,0,36140
2,89,212,0,25,0,4918
61107,1396,85,14,41,5,68935
2309,1855,1972,0,194,1,37426
11912,822,1126,1,13,1,5255
2323,295,346,0,2,0,439
810,9078,6910,0,1290,0,343203
1009,2388,3017,0,385,0,313626
15819,62,82,0,10,0,1189
9012,4776,703,7,64,0,33008
4122,510,1112,0,7,0,9139
4016,14704,10398,1,935,2,88625
26874,5887,5644,0,776,0,119973
381,87,89,4,0,0,190
1,836,982,0,3,0,12276
810,9078,6910,0,1290,0,343203
15530,415,135,7,4,0,3914
12417,1200,143,1,41,0,6886
13654,8289,94,6,58,2,13559
2739,12160,5188,0,249,0,53624
50233,644,199,42,13,10,29483
9929,523,265,0,14,0,30671
1,737,642,4,1119,2,4625
282,1440,1449,0,166,0,21132
1,140,93,0,270,0,50411
1028,1263,1328,0,146,0,21309
4178,89,127,15,1,3,2118
1,30,109,0,21,0,17286
15383,1437,245,2,56,0,42422
3141,2562,2975,2,425,0,6444
97,63,14,0,0,0,30
42350,333,307,5,14,0,46147
16,320,266,0,10,0,2650
810,9078,6910,0,1290,0,343203
14501,234,144,1,15,0,17335
4016,14704,10398,0,935,0,88625
301,1234,579,5,18,0,1734
14598,299,102,5,25,0,35714
8537,7396,839,3,172,0,7066
45366,717,281,3,38,0,159504
2,7581,2607,0,33,0,47836
5903,23,12,1,0,0,9
854,9929,141,25,32,16,8660
8827,13348,13581,0,286,0,34709
4597,172,167,1,5,1,11162
53,2620,888,0,100,0,21958
16684,322,695,2,5,1,90533
4915,34,66,0,0,0,10797
1344,88,104,1,1,0,839
14598,299,102,1,25,0,35714
4380,1,2,0,14,0,32192
22251,627,466,4,34,0,76544
204,9547,8510,0,359,0,32184
4658,38,100,0,4,0,10459
33848,564,618,4,10,0,23382
15044,2101,4987,0,82,0,22289
3247,267,114,0,4,0,6661
145,131,278,0,5,0,608
31525,3853,350,3,44,3,71009
1,140,93,0,270,0,50411
2,89,212,0,25,0,4918
942,1069,998,0,180,0,27839
9758,528,428,3,18,0,15396
18146,525,550,5,62,2,13430
0,161,539,0,24,0,1511
1372,1992,1997,0,195,0,33064
45257,545,308,12,5,1,6101
1343,5419,2598,0,170,0,230406
9160,910,580,8,1,0,23316
6519,8397,4861,0,156,0,154639
13,1510,248,0,15,0,10351
6674,755,2310,1,73,0,58852
810,9078,6910,0,1290,0,343203
17133,291,557,2,16,0,29808
22427,258,332,0,30,0,34465
16274,82,82,1,1,0,6419
20989,789,521,0,6,0,18772
9,2815,2969,0,51,0,703525
13142,199,129,0,6,0,17568
45455,841,179,2,20,0,37861
53300,3895,3141,1,37,1,10784
3,423,2855,0,13,0,2330
35589,3476,1418,5,89,2,88279
1512,55,44,0,0,0,12405
6519,8397,4861,0,156,0,154639
3599,274,168,0,1,1,3505
981,895,1060,1,159,0,24568
27946,1917,1076,2,58,1,16977
810,9078,6910,0,1290,0,343203
15783,711,1436,2,13,0,27830
2224,1151,834,0,38,0,40220
1427,312,91,2,4,0,12704
713,825,1191,0,101,0,7132
1884,324,283,1,3,0,4328
810,9078,6910,0,1290,1,343203
8148,57,189,0,3,0,7863
810,9078,6910,0,1290,0,343203
18227,1548,1456,6,49,0,13610
810,9078,6910,0,1290,0,343203
22511,500,137,1,12,0,12441
40801,475,180,0,8,0,53048
856,858,1040,0,182,0,24295
35263,666,282,20,35,8,29358
102,1383,550,0,0,0,483
5677,183,98,0,5,0,4299
34818,1238,243,0,9,0,21787
97,59,404,0,0,0,391
4091,5422,5967,0,232,0,11995
1,140,93,0,270,0,50411
6519,8397,4861,0,156,0,154639
209,33,352,1,0,0,46
0,126,37,0,144,0,55166
298,2260,2800,0,24,0,23169
676,1060,422,1,28,0,160085
2678,945,493,0,3827,0,206048
810,9078,6910,0,1290,1,343203
15940,1813,823,241,17,87,27483
317,912,962,0,132,0,21047
26874,5887,5644,0,777,0,119973
9311,334,249,3,7,0,6337
41,1899,1975,0,367,0,17396
0,9,9,0,1,0,1225
2,89,212,0,25,0,4918
0,11,57,0,9,0,4699
0,282,0,0,112,0,77525
17619,1429,1395,2,4,1,29118
33962,417,136,1,18,0,15507
90,602,1805,0,79,0,24448
226,261,338,0,19,0,1846
526,213,107,1,3,0,6198
810,9078,6910,0,1290,0,343203
2795,589,568,1,4,0,6243
16637,750,234,0,24,0,12505
44995,3317,427,177,21,35,33710
810,9078,6910,0,1290,0,343203
9736,3217,3693,0,150,0,18451
11367,595,154,34,47,0,13233
810,9078,6910,0,1290,0,343203
2944,190,205,0,36,0,67698
888,880,851,0,194,0,27531
6519,8397,4861,0,156,0,154639
1218,994,1018,0,174,0,28588
204,9547,8510,1,359,0,32184
4,79,1,0,26,0,113099
108549,842,358,6,23,1,72522
810,9078,6910,0,1290,0,343203
431,231,424,0,36,0,2272
19106,5047,342,2,36,1,59948
2308,262,195,2,6,0,3817
24827,819,442,7,69,0,73653
2,7581,2607,0,33,0,47836
6831,210,281,1,0,1,1062
1009,2388,3017,0,385,0,313618
22086,631,161,10,21,0,21988
223,2043,1451,0,20,0,102043
1267,206,349,0,20,0,205745
431,231,424,0,36,0,2272
1589,2150,1161,0,28,0,4851
0,686,1941,0,195,0,13365
1681,1280,1919,0,7,0,2540
40674,1637,1125,1,23,0,17533
3772,94,65,3,1,0,13967
1,836,982,0,3,0,12276
318,1005,1045,0,180,0,22394
1206,914,882,0,168,0,28580
664,165,238,3,0,0,1494
68,2244,1875,1,66,0,387476
2421,146,133,23,1,0,7167
0,521,229,0,280,0,324316
102603,604,492,19,7,7,21811
106,99,14,1,2,0,274
317,761,714,0,10,0,25075
6519,8397,4861,0,156,0,154639
810,9078,6910,0,1290,0,343203
3710,357,240,1,3,0,1344
204,9547,8510,1,359,0,32184
44,495,783,0,45,0,1798
19,779,771,0,3,0,2983
1,16,97,0,3,0,744
2,122,0,0,47,0,24084
8908,14417,13825,0,1577,1,35398
125,57,113,2,0,0,378
0,10846,7300,0,4,0,28974
810,9078,6910,0,1290,0,343203
4683,358,368,2,0,1,11393
1990,872,297,2,369,1,26930
8540,44,93,0,2,0,9935
39401,5693,150,2,55,0,17333
0,4,42,0,0,0,10
9526,1921,1913,1,289,0,13606
29895,2172,976,0,33,0,57949
13632,152,289,4,5,0,11166
3086,183,83,0,5,0,10234
204,9547,8510,0,359,0,32184
22429,258,332,0,30,0,34468
1009,2388,3017,0,385,0,313626
1,30,109,0,21,0,17286
810,9078,6910,0,1290,0,343203
27605,951,382,4,7,0,26311
215,137,181,2,1,0,651
87123,3789,388,1,77,0,125894
42969,726,286,4,6,0,23206
6032,178,152,2,1,0,9894
3581,250,193,0,5,0,12162
44952,6369,93,4,125,0,84889
431,231,424,0,36,0,2272
6607,1002,732,1,2,0,4311
16990,3670,2025,0,115,0,394458
1101,230,296,3,0,1,1922
2,89,212,0,25,0,4918
40184,295,183,8,9,1,15518
4059,620,542,0,3,0,2821
413,62,31,0,1,0,1852
29143,569,51,22,3,6,19894
4016,14704,10398,0,935,2,88625
1,335,1251,0,26,0,27096
9088,263,199,0,15,0,11024
28727,794,591,16,45,7,38682
431,231,424,0,36,0,2272
19442,122,209,1,13,0,23037
810,9078,6910,0,1290,0,343203
1182,19823,1012,14,52,4,10331
435,576,65,0,6,0,6823
1206,914,882,0,168,0,28580
34865,639,235,3,19,4,30234
1343,5419,2598,0,170,0,230406
1987,581,514,0,7,0,12250
0,282,0,0,112,0,77525
75,11,58,1,0,0,795
932,169,148,2,1,0,601
631,2735,31,0,19,0,750
1591,202,469,0,5,0,3777
6,322,294,0,117,0,136491
3229,1586,1546,0,182,0,29641
17860,3170,3140,0,364,1,106092
29389,263,186,7,15,0,29289
810,9078,6910,0,1290,0,343203
59,3844,54,1,127,0,22757
11597,4912,3880,0,208,0,99884
8407,330,293,2,0,1,1612
204,9547,8510,0,359,0,32184
1510,20,76,2,0,0,66
5469,202,165,1,15,0,31231
810,9078,6910,0,1290,0,343203
53381,18,27,2,4,0,29650
1751,1070,672,3,4,3,13919
5809,124,163,0,4,0,6588
756,2267,46,8,109,6,8524
1,140,93,0,270,0,50411
1451,204,219,0,14,0,2010
2420,1169,486,56,1,1,3459
1,642,356,1,228,0,11121
2,89,212,0,25,0,4918
41,1899,1975,1,367,0,17396
1218,994,1018,0,174,0,28588
0,0,2,0,0,0,12
1028,1263,1328,0,146,0,21309
79,1,11,0,0,0,503
